SlopeUp,SlopeDown
0.080922,0.032699
0.090915,0.020169
0.102148,0.028004
0.103896,0.020826
0.107448,0.025033
0.107521,0.049585
0.109886,0.051392
0.114526,0.024466
0.12049,0.04605
0.122228,0.035279
0.122857,0.048456
0.129364,0.054473
0.13348,0.049701
0.135211,0.036535
0.148856,0.062345
0.155917,0.05579
0.157012,0.027052
0.163,0.057019
0.167667,0.039076
0.171286,0.066039
0.177767,0.063074
0.182476,0.059502
0.203218,0.090733
0.205606,0.100325
0.207317,0.080572
0.229219,0.105221
0.232769,0.10883
0.245085,0.083735
0.255692,0.079591
0.406223,0.109609